Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,Embedded_text_1,links,links_title,conteo_links,hashtags,conteo_hashtags,menciones,conteo_menciones,emojis,conteo_emojis,RT,conteo_RT,sentiment,sentiment_score
0,Andrés Langebaek,@alangebaek,2021-12-01T20:43:12.000Z,"Andrés Langebaek
@ALangebaek
·
1 dic.","La confianza se afectó. El indicador de confianza Davivienda tuvo una  leve caída en noviembre, rompiendo una tendencia de cinco meses de mejoras. El indicador se deterioró, especialmente en la última semana del mes, asociado al aumento en la tasa de cambio.
1
7
19",,1.0,7,19,['https://pbs.twimg.com/media/FFjL57eXMAISBnk?format=jpg&name=small'],https://twitter.com/ALangebaek/status/1466145880629723138,"La confianza se afectó. El indicador de confianza Davivienda tuvo una  leve caída en noviembre, rompiendo una tendencia de cinco meses de mejoras. El indicador se deterioró, especialmente en la última semana del mes, asociado al aumento en la tasa de cambio.   ",[],,0,[],0,[],0,[],0,[],0,2 stars,0.5452802181243896
1,Plaza Futura,@plaza_futura,2021-12-01T21:18:10.000Z,"Plaza Futura
@plaza_futura
·
1 dic.","Buscamos la accesibilidad y mejor atención en tus trámites bancarios, es por ello que encuentras en nuestra plaza los siguientes bancos para tu preferencia.
 Banco Cuscatlán
 Banco Fedecrédito
 Davivienda
 Bancoagrícola
 Banco Promerica",✅ ✅ ✅ ✅ ✅,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1466153640050184199/pu/img/O-Lo8U_Oz5X0_BAU.jpg'],https://twitter.com/plaza_futura/status/1466154682812878859,"Buscamos la accesibilidad y mejor atención en tus trámites bancarios, es por ello que encuentras en nuestra plaza los siguientes bancos para tu preferencia. Banco Cuscatlán Banco Fedecrédito Davivienda Bancoagrícola Banco Promerica",[],,0,[],0,[],0,[],0,[],0,4 stars,0.3739754855632782
2,Julián Martinez,@julianm998,2021-12-01T22:49:11.000Z,"Julián Martinez
@JulianM998
·
1 dic.","Señores 
@Davivienda
 no he podido ingresar a mi app davivienda, ingreso la cédula y me dice verifique los datos, llevo así varios días.
1
1",,1.0,,1,[],https://twitter.com/JulianM998/status/1466177584467746816,"Señores  @Davivienda no he podido ingresar a mi app davivienda, ingreso la cédula y me dice verifique los datos, llevo así varios días.  ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.6927407383918762
3,Ferchis.,@fergomezr28,2021-12-01T12:29:07.000Z,"Ferchis.
@fergomezr28
·
1 dic.","Llevo toda una semana sufriendo intento de hurto por medios electrónicos a mi cuenta de ahorros 
@Davivienda
, sin que se puedan realizar porque no tengo plata. No felices, lo hicieron con la TC y con esta sí pudieron ya que tenía cupo libre. ¿Qué está pasando 
@Davivienda
?
2
1
2",,2.0,1,2,[],https://twitter.com/fergomezr28/status/1466021543432142850,"Llevo toda una semana sufriendo intento de hurto por medios electrónicos a mi cuenta de ahorros  @Davivienda , sin que se puedan realizar porque no tengo plata. No felices, lo hicieron con la TC y con esta sí pudieron ya que tenía cupo libre. ¿Qué está pasando  @Davivienda ?   ",[],,0,[],0,"['@davivienda', '@davivienda']",2,[],0,[],0,1 star,0.6848399639129639
4,MirandaL2,@mirandasusplo,2021-12-01T20:52:36.000Z,"MirandaL2
@MirandaSuspLo
·
1 dic.","Hemos retrocedido tanto en este país con este gobierno, que hasta los malparidos cajeros de 
@Davivienda
 dizque solo botan de 400.000 pesos y en billetes de 10.000 no seamos tan maricas !!
3
8",,3.0,,8,[],https://twitter.com/MirandaSuspLo/status/1466148246905044996,"Hemos retrocedido tanto en este país con este gobierno, que hasta los malparidos cajeros de  @Davivienda dizque solo botan de 400.000 pesos y en billetes de 10.000 no seamos tan maricas !!  ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.7314361333847046
5,John Jairo Peralta Bernal,@johnjairope,2021-12-01T16:11:03.000Z,"John Jairo Peralta Bernal
@JohnJairoPe
·
1 dic.","Open Data, CEO, pregúntele a la gente de a pie si eso les importa, acá lo que importa es que respondan por la plata que se roban por #daviplata, a ver Davivienda #rDaviviendaNoResponde
Banco Davivienda
@Davivienda
 · 30 nov.
En su participación en el foro Open Banking: Operaciones y tendencias de futuro, organizado por @larepublica_co, Margarita Henao, CEO de @DaviPlata  expuso la necesidad de que el país, la regulación y el sistema avancen hacia el Open Data.
Mostrar este hilo
1",,,1,,"['https://pbs.twimg.com/profile_images/1002552048620134400/qZ1XCo_9_mini.jpg', 'https://pbs.twimg.com/media/FFcnjiBXIAEy2zc?format=jpg&name=small']",https://twitter.com/JohnJairoPe/status/1466077392858877952,"Open Data, CEO, pregúntele a la gente de a pie si eso les importa, acá lo que importa es que respondan por la plata que se roban por #daviplata, a ver Davivienda #rDaviviendaNoResponde Banco Davivienda @Davivienda · 30 nov. En su participación en el foro Open Banking: Operaciones y tendencias de futuro, organizado por @larepublica_co, Margarita Henao, CEO de @DaviPlata  expuso la necesidad de que el país, la regulación y el sistema avancen hacia el Open Data. Mostrar este hilo ",[],,0,"['#daviplata,', '#rDaviviendaNoResponde']",2,"['@davivienda', '@larepublica_co', '@daviplata']",3,[],0,[],0,1 star,0.3951650559902191
6,Universidad El Bosque,@u_elbosque,2021-12-01T15:00:26.000Z,"Universidad El Bosque
@U_ElBosque
·
1 dic.","Conoce los requisitos de la convocatoria de Becas al Talento de Fundación Bolívar Davivienda. 
https://bddy.me/3EcTA8x",,,,,['https://pbs.twimg.com/media/FFh9c8jXsAAtEXc?format=jpg&name=small'],https://twitter.com/U_ElBosque/status/1466059622356238336,Conoce los requisitos de la convocatoria de Becas al Talento de Fundación Bolívar Davivienda.  Link_aqui,['https://bddy.me/3EcTA8x'],['CreSer'],1,[],0,[],0,[],0,[],0,4 stars,0.37130412459373474
7,Cristian Julian,@cjulianlozano,2021-12-01T00:01:49.000Z,"Cristian Julian
@cjulianlozano
·
30 nov.","Mamado de ser adulto y tener que trabajar para pagarle a 
@Davivienda",,,,,[],https://twitter.com/cjulianlozano/status/1465833475890679808,Mamado de ser adulto y tener que trabajar para pagarle a  @Davivienda,[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.6179028749465942
8,Santiago Parra Angel,@santiagoparraa2,2021-12-01T01:31:18.000Z,"Santiago Parra Angel
@SantiagoParraA2
·
30 nov.","#daviplata ayuda por favor, llevo más de 3 meses tratando de cambiar mi número daviplata y nadie me ayuda, esa nueva línea de WhatsApp es ineficiente, nadie responde a los cientos de radicados que he hecho, necesito que me colabore #daviplata #davivienda #asesoresdavivienda
1",,,,1,[],https://twitter.com/SantiagoParraA2/status/1465855997101154304,"#daviplata ayuda por favor, llevo más de 3 meses tratando de cambiar mi número daviplata y nadie me ayuda, esa nueva línea de WhatsApp es ineficiente, nadie responde a los cientos de radicados que he hecho, necesito que me colabore #daviplata #davivienda #asesoresdavivienda ",[],,0,"['#daviplata', '#daviplata', '#davivienda', '#asesoresdavivienda']",4,[],0,[],0,[],0,1 star,0.8117733597755432
9,Andres Moreno Jaramillo,@andresmania,2021-12-01T04:27:27.000Z,"Andres Moreno Jaramillo
@andresmania
·
30 nov.","Cierto, recuerdo en 2000-2010 se vendieron empresas como Bavaria y Coltabaco. Fusiones en Grupo Sura, Grupo Argos, Bancolombia, Nutresa, Éxito, Banco de Occidente, Banco de Bogotá. Creación de Grupo Aval, Celsia. Llegada de ISA, Ecopetrol, GEB, Davivienda

¿Se repetirá 2021-2030?
Andres Palacios
@Palacios_Andres
 · 30 nov.
La @bvcColombia volvió a ser lo del 2000 , “que buenos partidos corporativos los que estamos viendo “ compañero compañero” Willian Vinasco a Adolfo Perez .  Emociónate
1
1
6",📊,1.0,1,6,['https://pbs.twimg.com/profile_images/1420375082237579273/4p1Bm36R_mini.jpg'],https://twitter.com/andresmania/status/1465900328138813447,"Cierto, recuerdo en 2000-2010 se vendieron empresas como Bavaria y Coltabaco. Fusiones en Grupo Sura, Grupo Argos, Bancolombia, Nutresa, Éxito, Banco de Occidente, Banco de Bogotá. Creación de Grupo Aval, Celsia. Llegada de ISA, Ecopetrol, GEB, Davivienda  ¿Se repetirá 2021-2030? Andres Palacios @Palacios_Andres · 30 nov. La @bvcColombia volvió a ser lo del 2000 , “que buenos partidos corporativos los que estamos viendo “ compañero compañero” Willian Vinasco a Adolfo Perez .  Emociónate   ",[],,0,[],0,"['@palacios_andres', '@bvccolombia']",2,[],0,[],0,1 star,0.3428390622138977
